composite_key,q_id,region,state,county,utility,developer,fuel_bucketed,mw_total,q_year,viability,confidence
GI-TC-2024-11_West_CO_2024.0,GI-TC-2024-11,West,CO,Kit Carson,Tri-State Generation and Transmission Association,,Wind,150.0,2024.0,0.06890131,validated
GI-TC-2024-18_West_CO_2024.0,GI-TC-2024-18,West,CO,Montezuma,Tri-State Generation and Transmission Association,,Battery,100.0,2024.0,0.06890131,validated
GI-TC-2024-20_West_CO_2024.0,GI-TC-2024-20,West,CO,Lincoln,Tri-State Generation and Transmission Association,,Solar,250.0,2024.0,0.06890131,validated
GI-TC-2024-29_West_CO_2024.0,GI-TC-2024-29,West,CO,Kit Carson,Tri-State Generation and Transmission Association,,Wind,170.0,2024.0,0.06890131,validated
CLPT G29_West_WY_2024.0,CLPT G29,West,WY,Laramie,Black Hills Cheyenne Light Fuel and Power Transmission,,Other_combined,150.0,2024.0,0.06890131,validated
J1795_MISO_LA_2020.0,J1795,MISO,LA,Acadia Parish,ENTERGY LOUISIANA,,Solar,100.0,2020.0,0.06890131,unvalidated
J1587_MISO_MI_2020.0,J1587,MISO,MI,Muskegon,ITC,,Solar,100.0,2020.0,0.06890131,unvalidated
J1504_MISO_MN_2020.0,J1504,MISO,MN,Faribault,ITC MIDWEST,,Solar,150.0,2020.0,0.06890131,unvalidated
J1503_MISO_MN_2020.0,J1503,MISO,MN,Faribault,ITC MIDWEST,,Solar,150.0,2020.0,0.06890131,unvalidated
654_West_ID_2022.0,654,West,ID,Bingham,Idaho Power Company,Pingree Solar LLC,Solar+Battery,130.0,2022.0,0.06890131,validated
C2-49_West_WY_2022.0,C2-49,West,WY,Converse,PacifiCorp,,Wind,150.0,2022.0,0.06890131,validated
GI-DISIS-2022-02_West_CO_2022.0,GI-DISIS-2022-02,West,CO,Weld,Tri-State Generation and Transmission Association,,Solar+Battery,199.0,2022.0,0.06890131,validated
GEN-2024-029_SPP_OK_2024.0,GEN-2024-029,SPP,OK,Logan,OGE,,Battery,150.0,2024.0,0.06890131,unvalidated
PIS089_West_WY_2024.0,PIS089,West,WY,Lincoln,PacifiCorp,,Wind,400.0,2024.0,0.06890131,validated
GI-TC-2024-12_West_CO_2024.0,GI-TC-2024-12,West,CO,Yuma,Tri-State Generation and Transmission Association,,Wind,170.0,2024.0,0.06890131,validated
GI-2024-16_West_CO_2024.0,GI-2024-16,West,CO,Kiowa,Public Service Company Of Colorado,,Solar+Battery,250.0,2024.0,0.06890131,validated
GI-2024-17_West_CO_2024.0,GI-2024-17,West,CO,Alamosa,Public Service Company Of Colorado,,Solar,100.0,2024.0,0.06890131,validated
GI-TC-2024-22_West_CO_2024.0,GI-TC-2024-22,West,CO,Weld,Tri-State Generation and Transmission Association,,Solar,140.0,2024.0,0.06890131,validated
GI-TC-2024-13_West_CO_2024.0,GI-TC-2024-13,West,CO,Routt,Tri-State Generation and Transmission Association,,Solar+Battery,250.0,2024.0,0.06890131,validated
